Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,3.0,0.5,0.4,0.001,50,0.006105715874582529,0.97460145,0.7004779,0.62261736,0.659256637096405,0.73283577,0.9741201996803284,217380.0,131759.0,8405270.0,92951.0
Adam,SFCE,3.0,0.55,0.4,0.001,50,0.00784265249967575,0.9727372,0.6683412,0.59998494,0.6323210597038269,0.71720713,0.962600588798523,207407.0,138280.0,8398749.0,102924.0
Adam,SFCE,3.0,0.6,0.4,0.001,50,0.0064917090348899364,0.9701599,0.75265443,0.5550415,0.6389167904853821,0.7193843,0.9725925326347351,233572.0,187247.0,8349782.0,76759.0
Adam,SFCE,3.0,0.65,0.4,0.001,50,0.007540273480117321,0.96686184,0.7658113,0.5187116,0.6184963583946228,0.7068217,0.9670876264572144,237656.0,220509.0,8316520.0,72675.0
Adam,SFCE,3.0,0.7,0.4,0.001,50,0.004971520975232124,0.94335634,0.8371191,0.36569518,0.5090235471725464,0.64152277,0.9690744280815125,259784.0,450600.0,8086429.0,50547.0
Adam,SFCE,3.0,0.75,0.4,0.001,50,0.005859597120434046,0.95791954,0.82094926,0.44578323,0.5778101086616516,0.68147683,0.9716960787773132,254766.0,316736.0,8220293.0,55565.0
Adam,SFCE,3.0,0.8,0.4,0.001,50,0.00544212618842721,0.9499508,0.86125135,0.40069833,0.5469346046447754,0.6623962,0.9723952412605286,267273.0,399745.0,8137284.0,43058.0
Adam,SFCE,3.0,0.85,0.4,0.001,50,0.0072932434268295765,0.9565207,0.7966719,0.43464777,0.5624399185180664,0.6732584,0.9623507857322693,247232.0,321578.0,8215451.0,63099.0
Adam,SFCE,3.0,0.9,0.4,0.001,50,0.003702859627082944,0.8695704,0.93933254,0.20432977,0.335647314786911,0.5333975,0.9624661803245544,291504.0,1135131.0,7401898.0,18827.0
Adam,SFCE,3.0,0.95,0.4,0.001,50,0.0020959104876965284,0.89546496,0.9676829,0.2471353,0.3937191367149353,0.5684522,0.9779779314994812,300302.0,914830.0,7622199.0,10029.0
Adam,SFCE,3.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,4.0,0.0,0.4,0.001,50,0.00594099098816514,0.9596748,0.82070756,0.45822322,0.5880963206291199,0.68750334,0.9723624587059021,254691.0,301132.0,8235897.0,55640.0
Adam,SFCE,4.0,0.05,0.4,0.001,50,0.0007817427976988256,0.9755997,0.42570996,0.77818096,0.5503478646278381,0.6774356,0.9786432385444641,132111.0,37658.0,8499371.0,178220.0
Adam,SFCE,4.0,0.1,0.4,0.001,50,0.001259450800716877,0.97586286,0.44422245,0.77044225,0.5635263323783875,0.68388957,0.9739969968795776,137856.0,41075.0,8495954.0,172475.0
Adam,SFCE,4.0,0.15,0.4,0.001,50,0.0017073212657123804,0.97767675,0.5796972,0.7284293,0.6456103920936584,0.72694534,0.9773616790771484,179899.0,67069.0,8469960.0,130432.0
Adam,SFCE,4.0,0.2,0.4,0.001,50,0.00173072493635118,0.97626704,0.64353544,0.66778684,0.6554368734359741,0.7315955,0.9787193536758423,199709.0,99352.0,8437677.0,110622.0
Adam,SFCE,4.0,0.25,0.4,0.001,50,0.0020500558894127607,0.97558343,0.60378754,0.6681453,0.6343405246734619,0.7197733,0.9741760492324829,187375.0,93065.0,8443964.0,122956.0
Adam,SFCE,4.0,0.3,0.4,0.001,50,0.002653274219483137,0.97253996,0.681279,0.59478086,0.6350982785224915,0.7185873,0.9718859195709229,211422.0,144040.0,8392989.0,98909.0
